Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	99	35	18	45	29	63	
		Student 1	77	38	88	54	34	63	
		Student 2	73	71	45	17	74	16	
		Student 3	84	85	83	15	49	28	
		Student 4	17	16	68	21	86	43	
		Student 5	40	40	35	39	93	12	
		Student 6	59	53	42	92	59	44	
		Student 7	86	12	79	30	31	38	
		Student 8	71	33	67	15	20	55	
		Student 9	87	62	29	55	55	84	
		Student 10	15	96	52	87	71	75	
		Student 11	66	42	35	92	85	68	
		Student 12	93	33	73	23	69	26	
		Student 13	53	99	88	86	69	69	
		Student 14	25	81	48	31	62	87	
		Student 15	47	20	73	34	54	71	
		Student 16	75	13	45	83	37	79	
		Student 17	93	21	97	89	64	73	
		Student 18	90	26	39	30	88	48	
		Student 19	36	50	55	22	30	54	
		Student 20	71	27	63	28	65	23	
		Student 21	90	90	57	17	62	83	
		Student 22	78	18	26	93	99	32	
		Student 23	21	54	33	40	77	27	
		Student 24	45	68	33	85	58	49	
		Student 25	10	97	49	12	36	89	
		Student 26	24	48	26	85	17	77	
		Student 27	37	30	26	98	60	65	
		Student 28	44	41	38	32	26	60	
		Student 29	23	59	55	48	71	48	
		Student 30	75	44	66	62	73	31	
		Student 31	33	54	20	22	37	90	
		Student 32	39	85	96	35	43	44	
		Student 33	58	43	94	96	60	71	
		Student 34	84	30	19	74	84	53	
		Student 35	14	93	77	41	68	49	
		Student 36	88	60	99	45	57	12	
		Student 37	19	82	35	22	58	69	
		Student 38	33	30	20	37	45	82	
		Student 39	56	10	42	83	26	76	
		Student 40	61	20	55	99	97	37	
		Student 41	50	80	19	98	55	86	
		Student 42	56	27	24	45	30	23	
		Student 43	99	92	83	33	74	39	
		Student 44	98	97	78	43	35	91	
		Student 45	28	84	46	59	68	76	
		Student 46	78	26	11	56	87	89	
		Student 47	20	32	42	67	56	18	
		Student 48	46	44	72	21	74	16	
		Student 49	23	14	76	20	97	49	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	51	30	57	51	26	95	
		Student 1	95	54	81	53	50	23	
		Student 2	10	84	33	70	79	59	
		Student 3	46	75	61	38	48	54	
		Student 4	94	11	42	65	81	78	
		Student 5	50	50	65	10	87	76	
		Student 6	28	42	32	55	61	44	
		Student 7	76	29	98	43	25	15	
		Student 8	78	97	52	11	21	12	
		Student 9	40	78	62	21	96	96	
		Student 10	85	47	74	83	51	14	
		Student 11	75	55	41	74	26	93	
		Student 12	28	50	73	74	11	17	
		Student 13	49	35	11	16	52	91	
		Student 14	22	10	20	24	71	70	
		Student 15	13	85	74	41	56	74	
		Student 16	30	69	45	11	44	89	
		Student 17	77	17	51	51	53	92	
		Student 18	85	22	20	74	86	55	
		Student 19	66	48	39	17	12	94	
		Student 20	45	71	75	79	21	49	
		Student 21	59	80	32	32	26	21	
		Student 22	20	24	53	70	60	45	
		Student 23	71	20	95	85	51	37	
		Student 24	22	20	88	49	98	41	
		Student 25	57	10	80	61	22	29	
		Student 26	19	35	27	80	35	36	
		Student 27	23	38	17	72	46	69	
		Student 28	90	98	45	61	35	68	
		Student 29	49	95	62	91	89	98	
		Student 30	28	18	78	85	73	10	
		Student 31	11	83	15	65	46	87	
		Student 32	39	49	98	77	88	43	
		Student 33	21	38	77	52	68	39	
		Student 34	91	83	60	45	44	17	
		Student 35	89	66	43	85	82	51	
		Student 36	60	88	18	14	80	92	
		Student 37	28	51	52	11	56	56	
		Student 38	30	46	46	31	88	13	
		Student 39	91	96	97	96	39	54	
		Student 40	53	82	64	38	17	39	
		Student 41	52	20	24	91	63	24	
		Student 42	10	52	65	46	64	39	
		Student 43	57	60	73	17	29	40	
		Student 44	62	97	80	66	44	73	
		Student 45	15	52	28	70	15	67	
		Student 46	27	26	29	70	58	20	
		Student 47	28	78	76	92	42	81	
		Student 48	84	28	95	22	51	38	
		Student 49	51	47	73	73	82	57	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	90	33	93	23	89	51	
		Student 1	25	48	50	40	76	96	
		Student 2	26	20	64	67	85	67	
		Student 3	55	52	79	62	60	32	
		Student 4	23	43	33	90	39	93	
		Student 5	67	83	52	83	49	92	
		Student 6	92	39	29	53	56	80	
		Student 7	97	90	48	35	47	96	
		Student 8	24	82	55	92	76	21	
		Student 9	27	15	86	82	65	99	
		Student 10	75	22	58	61	95	39	
		Student 11	67	40	52	39	94	66	
		Student 12	63	46	62	17	43	64	
		Student 13	38	34	16	39	58	92	
		Student 14	63	81	95	42	35	27	
		Student 15	36	90	99	67	57	56	
		Student 16	41	76	77	25	65	63	
		Student 17	84	94	71	54	16	10	
		Student 18	64	71	39	39	40	71	
		Student 19	97	79	74	33	65	11	
		Student 20	36	84	70	86	17	25	
		Student 21	71	45	34	92	35	86	
		Student 22	49	18	64	61	51	98	
		Student 23	43	59	20	61	50	55	
		Student 24	74	57	59	62	22	64	
		Student 25	51	13	48	81	83	62	
		Student 26	66	95	12	27	19	77	
		Student 27	56	33	16	33	75	12	
		Student 28	73	48	83	21	52	43	
		Student 29	41	23	36	21	58	14	
		Student 30	75	48	72	88	88	28	
