Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	37	73	87	90	44	85	
		Student 1	46	51	26	73	99	33	
		Student 2	57	23	64	34	45	13	
		Student 3	82	59	72	64	19	32	
		Student 4	73	70	30	38	47	69	
		Student 5	32	75	38	17	65	88	
		Student 6	72	79	87	84	61	80	
		Student 7	14	87	33	92	72	48	
		Student 8	39	88	57	69	52	20	
		Student 9	81	26	88	72	77	22	
		Student 10	13	46	85	77	75	25	
		Student 11	84	75	16	51	17	18	
		Student 12	25	30	85	28	79	74	
		Student 13	95	10	77	87	91	29	
		Student 14	92	68	38	66	26	23	
		Student 15	71	62	10	93	94	52	
		Student 16	58	75	83	60	11	95	
		Student 17	36	71	85	53	19	42	
		Student 18	23	61	87	29	62	46	
		Student 19	93	96	75	65	36	31	
		Student 20	44	86	80	29	55	18	
		Student 21	25	24	64	30	74	99	
		Student 22	46	52	32	39	82	54	
		Student 23	23	66	73	46	64	36	
		Student 24	28	97	32	49	41	33	
		Student 25	61	97	70	17	41	88	
		Student 26	80	22	78	57	93	63	
		Student 27	76	55	46	14	33	52	
		Student 28	32	47	68	59	49	37	
		Student 29	81	59	48	19	95	21	
		Student 30	82	53	97	52	41	89	
		Student 31	38	57	74	94	82	61	
		Student 32	93	14	18	47	12	76	
		Student 33	63	11	82	20	36	33	
		Student 34	22	10	37	12	48	55	
		Student 35	26	87	77	64	88	86	
		Student 36	84	25	45	42	23	12	
		Student 37	26	64	74	54	94	61	
		Student 38	22	97	46	25	34	40	
		Student 39	64	53	94	20	54	48	
		Student 40	21	13	11	66	84	95	
		Student 41	77	91	30	84	15	34	
		Student 42	78	39	33	88	82	71	
		Student 43	57	81	34	43	59	73	
		Student 44	67	63	72	47	77	48	
		Student 45	18	54	10	50	87	10	
		Student 46	56	41	42	15	72	24	
		Student 47	80	74	32	42	97	11	
		Student 48	89	51	16	99	53	99	
		Student 49	48	33	29	26	22	81	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	16	20	36	99	99	27	
		Student 1	81	64	56	43	41	92	
		Student 2	73	40	41	79	67	76	
		Student 3	28	28	46	91	48	10	
		Student 4	87	76	23	11	60	83	
		Student 5	22	65	25	45	37	11	
		Student 6	27	78	55	99	80	37	
		Student 7	80	54	44	41	45	37	
		Student 8	56	98	18	42	10	42	
		Student 9	25	50	92	56	10	46	
		Student 10	60	79	94	64	14	71	
		Student 11	51	58	58	50	11	20	
		Student 12	96	13	98	59	91	84	
		Student 13	94	79	82	98	45	85	
		Student 14	79	66	84	76	19	23	
		Student 15	84	87	26	44	83	14	
		Student 16	64	57	54	53	28	88	
		Student 17	41	93	21	18	25	96	
		Student 18	41	71	93	50	35	64	
		Student 19	26	56	87	67	77	83	
		Student 20	82	58	20	53	74	31	
		Student 21	83	75	89	63	86	24	
		Student 22	93	76	79	76	74	37	
		Student 23	40	59	53	15	31	76	
		Student 24	80	38	79	74	14	16	
		Student 25	11	89	43	16	94	78	
		Student 26	94	25	62	47	30	31	
		Student 27	16	39	27	39	33	11	
		Student 28	17	12	95	73	91	64	
		Student 29	88	57	57	85	96	28	
		Student 30	49	72	45	90	82	44	
		Student 31	76	16	65	64	58	56	
		Student 32	78	77	23	67	84	10	
		Student 33	13	88	48	23	50	10	
		Student 34	97	14	83	23	84	62	
		Student 35	26	12	53	85	99	39	
		Student 36	16	41	28	32	83	25	
		Student 37	30	22	70	92	93	93	
		Student 38	76	18	12	70	48	45	
		Student 39	93	20	84	19	47	16	
		Student 40	67	90	61	49	19	74	
		Student 41	22	75	93	32	58	77	
		Student 42	87	73	40	37	27	19	
		Student 43	39	26	56	69	67	32	
		Student 44	22	81	69	47	55	89	
		Student 45	51	95	96	47	68	97	
		Student 46	12	59	47	75	82	47	
		Student 47	67	81	62	33	92	16	
		Student 48	40	51	63	31	71	32	
		Student 49	97	38	65	34	52	40	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	34	78	96	76	62	36	
		Student 1	89	17	87	41	87	67	
		Student 2	16	64	85	18	68	11	
		Student 3	64	33	39	56	57	79	
		Student 4	92	12	62	35	85	14	
		Student 5	21	28	86	44	83	93	
		Student 6	50	80	13	29	84	97	
		Student 7	26	80	83	85	40	62	
		Student 8	78	76	21	18	58	97	
		Student 9	42	92	61	30	92	10	
		Student 10	41	98	72	39	58	17	
		Student 11	88	84	63	65	42	11	
		Student 12	65	60	38	56	46	67	
		Student 13	38	87	50	21	93	83	
		Student 14	95	47	82	30	50	75	
		Student 15	25	91	23	68	85	88	
		Student 16	53	10	20	14	46	97	
		Student 17	95	20	72	93	46	66	
		Student 18	81	43	33	13	39	79	
		Student 19	69	63	75	31	42	49	
		Student 20	73	59	19	50	25	63	
		Student 21	13	32	34	62	65	13	
