abot abad           34.1558 73.2194
chitral             35.8394 71.7800
kohat               35.1538 76.3460
mingora             34.7795 72.3626
mardan              34.1982 72.0444
nowshera            34.0066 71.9998
peshawar            34.0043 71.5448
wah                 33.7743 72.7518
kergil              35.5409 76.1384
kupwara             34.5268 74.2586
jammu               32.7266 74.8570
srinagar            34.0837 74.7974
islamabad           33.7182 73.0605
bannu               32.9889 70.6056
jhelum              31.2791 72.1069
chakwal             32.9303 72.8556
gujrat              32.5738 74.0789
rokhri              32.5858 71.5349
wanna               32.3047 69.5703
khushab             32.2944 72.3497
sargodha            32.0791 72.6718
daska               32.3333 74.3500
gujranwala          32.1500 74.1833
bhakkar             31.6216 71.0650
chiniot             31.7223 72.9780
lahore              31.5450 74.3407
faisalabad          31.4181 73.0776
gojra               31.1467 72.6876
kasur               31.1176 74.4500
layyah              30.9608 70.9424
renala khurd        30.8800 73.5977
harrapa             30.5919 72.9165
qila saifullah      30.7053 68.3659
chaman              30.9194 66.4558
kotaddu             30.4600 70.9685
khanewal            30.2998 71.9309
pakpattan           30.3465 73.3877
muzaffar garh       30.0650 71.1898
vihari              30.0457 72.3483
chistian            29.8004 72.8575
lodhran             29.5368 71.6305
jampur              29.6394 70.5922
rajanpur            29.1033 70.3250
ahmedpur            27.5561 68.5575
khanpur             28.6491 70.6514
sagiqabad           28.3083 70.1336
derabugti           29.3401 68.8688
kohlu               29.9000 69.2500
duki                30.1500 68.5667
sibi                29.5473 67.8715
quetta              30.2095 67.0182
nushki              29.5558 66.0196
kallat              29.0258 66.5900
dalbandin           28.8833 64.4167
nokkundi            28.8185 62.7317
taftan              28.6000 61.1325
zahedan             29.4964 60.8628
kuzdar              27.8000 66.6167
ratodero            27.8033 68.2903
sukkur              27.6908 68.4886
khairpur            26.8820 69.0970
wad                 27.3405 66.3706
mehrabpur           28.1072 68.0253
panjgur             26.9667 64.1000
bela                24.2611 67.9528
nawabshah           26.1395 68.4034
mirpur khas         25.5180 69.0127
kotri               25.3638 68.3014
badin               24.6592 68.8398
thatta              24.7480 67.9239
karachi             24.0008 67.5135
ormara              25.2167 64.6333
pasni               25.2667 63.4667
gawadar             25.1264 62.3225
